day,value
476,86249538
477,86229538
478,92520000
479,141114700
480,140199156
481,147119156
482,147202156
483,149702156
484,602156
485,290000
486,2493780
487,450800
488,115000
489,34645387
490,30975387
491,48158960
492,2676232
493,1536232
494,3263506
495,19785004
496,10233340
497,77401530
498,77105270
499,78152050
500,70732050
501,3753050
502,0
503,427000
504,78169362
505,80120872
506,80020000
507,12626793
508,10347860
509,20079000
510,18127880
511,18127880
512,22520000
513,22520000
514,97879900
515,74990000
516,8199864
517,8098000
518,14468000
519,18107000
520,21819108
521,26287306
522,63830719
523,65092136
524,60020000
525,60020000
526,106535453
527,107215007
528,101143007
529,101674000
530,101673000
531,100020000
532,0
533,2500000
534,1675859
535,2375859
536,3709000
537,3709000
538,36282978
539,853178
540,3353178
541,2240178
542,6127596
543,6763356
544,787000
545,34609261
546,34609261
547,35629261
548,34699261
549,71431701
550,3690000
551,5103729
552,0
553,2500000
554,2500000
555,2500000
556,2820000
557,1004120
558,2475380
559,2475380
560,4975380
561,46004492
562,48297303
563,48297303
564,48297303
565,48297303
566,79333712
567,81833712
568,31773712
569,34232712
570,35390712
571,34070712
572,105991910
573,157081910
574,157081910
575,9561910
576,18367910
577,23282910
578,0
579,5600924
580,36181627
581,41181627
582,2641627
583,34672
584,91672
585,91672
586,91672
587,1034672
588,71478598
589,125968598
590,15075598
591,10020000
592,10020000
593,10020000
594,10020000
595,10020000
596,47418330
597,768330
598,768330
599,768330
600,768330
601,0
602,0
603,2500000
604,2680000
605,294800
606,0
607,2300000
608,2300000
609,2500000
610,0
611,0
612,6550000
613,6550000
614,0
615,0
616,0
617,0
618,0
619,0
620,305763
621,0
622,0
623,0
624,11591232
625,11591232
626,12362946
627,14322946
628,114322946
629,128762946
630,191262946
631,4922946
632,241473
633,0
634,0
635,0
636,0
637,0
638,2686000
639,7330882
640,7330882
641,95882
642,95882
643,95882
644,95882
645,3095882
646,0
647,2750000
648,1679641
649,1679641
650,1679641
651,1679641
652,9157641
653,8901641
654,8901641
655,881641
656,881641
657,881641
658,1106641
659,84000
660,0
661,0
662,0
663,0
664,0
665,0
666,0
667,0
668,0
669,69638243
670,69638243
671,69638243
672,69638243
673,69638243
674,11696000
675,0
676,0
677,15000000
678,15000000
679,15000000
680,0
681,0
682,956000
683,956000
684,956000
685,121167842
686,121167842
687,121167842
688,121167842
689,121167842
690,121167842
691,120569042
692,120569042
693,120569042
694,120569042
695,121715338
696,91738861
697,91738861
698,91738861
699,95078861
700,5058861
701,3038861
702,513193
703,0
704,129737539
705,29717539
706,29717539
707,29717539
